@relation tweet_text

@attribute classification {neutral,ukraine,russia}
@attribute text string

@data
neutral,',U.N. aviation team unable to reach Ukraine crash site - source | Reuters http://t.co/4i4jsCurxq,reutersLjungg'
ukraine,',Wait What? A strange statement from a pro-Russian commander tries to shift the blame. http://t.co/WPXqmrMg07,MJGarciaKCMO'
russia,',RT @herodfel: .@Channel9 so they found that pesky BUK with the missing missile... turns out it belongs to ukraine military. http://t.co/wsNЕ,Nickro666'
neutral,',@warrenellis Two people I know, a poet &amp; a chemist, fled with families from Eastern Ukraine warzone to Russia. It s a civil war, after all.,yeroneem'
russia,',RT @marcelsardo: #Lugansk. Today. Young Woman laying on the Street.   Dead.  Murdered by Ukraine Army  via @Black_Bomb http://t.co/X3ovccrOЕ,Jakoben1789'
russia,',RT @BungeeWedgie: Allegedly \"rebels  Buk AA system that came fr #Russia\" turns out to be a Ukranan one. #Ukraine gov. fail  #MH17 http://t.Е,Narwhal8915'
neutral,',Ukraine: More than 200 bodies found: Twenty-seven more bodies have been found at the MH17 crash site, a Ukrain... http://t.co/SzmHventfB,ohluwanome'
russia,',RT @marcelsardo: #Lugansk. Today. Young Woman laying on the Street.   Dead.  Murdered by Ukraine Army  via @Black_Bomb http://t.co/X3ovccrOЕ,EnaLolena'
neutral,',RT @CuteBlessedBarb: Starving people, high unemployment rate, human trafficking, and the Ukraine crisis is worth getting mad about. #MTVHotЕ,GavinPiTT21'
neutral,',RT @nailededits: Latest photos from crash scene of Malaysia Airlines #MH17 crash site in Ukraine  ?http://t.co/x8PE2YpG3t?  http://t.co/A1SЕ,abhishaar'
neutral,',RT @rightbankwarsaw: According to @infosportplus 6 Shakhtar Donetsk players have gone into hiding after their match in Lyon.  They refuse tЕ,Simiieehh'
ukraine,',RT @lennutrajektoor: Confirmed: Dutch army send a lettter to PM to allow them engage the terrorists in East #Ukraine. Support &amp; pressure byЕ,Dze_nis'
ukraine,',US says recordings of Ukraine rebels admitting MH17 downing СauthenticТ http://t.co/I0XHcw5qbf http://t.co/UxuiS3uKys,africalibre_'
neutral,',RT : Finnischer Zoll, Waffen, Ukraine http://t.co/D9uAyJOaVk,Kreuzer1965'
russia,',RT @herodfel: .@Channel9 so they found that pesky BUK with the missing missile... turns out it belongs to ukraine military. http://t.co/wsNЕ,Ailena13'
ukraine,',RT @nata_kurt: –ЌЅќ: Ќа ƒонбас≥ дл€ боротьби з терористами формуЇтьс€ партизанський рух http://t.co/7hcgud2F2U http://t.co/lqY4Zuz7Mi,TatyanaTumka'
neutral,',http://t.co/XJejnlC1gv Ukraine: More than 200 bodies found  #usa #uk #news #ff,jackrunder'
neutral,',RT @aprilthomas825: Why the Story of the \"Malaysian\" Jet Shot Down Over \"Ukraine\" is Much Worse than You Think: #MH17 http://t.co/M5hHQxhSdC,Inc1alex'
neutral,',RT @aprilthomas825: Why the Story of the \"Malaysian\" Jet Shot Down Over \"Ukraine\" is Much Worse than You Think: #MH17 http://t.co/M5hHQxhSdC,williethomas8'
neutral,',RT @aprilthomas825: Why the Story of the \"Malaysian\" Jet Shot Down Over \"Ukraine\" is Much Worse than You Think: #MH17 http://t.co/M5hHQxhSdC,angellee567'
neutral,',RT @aprilthomas825: Why the Story of the \"Malaysian\" Jet Shot Down Over \"Ukraine\" is Much Worse than You Think: #MH17 http://t.co/M5hHQxhSdC,swag12373'
neutral,',RT @aprilthomas825: Why the Story of the \"Malaysian\" Jet Shot Down Over \"Ukraine\" is Much Worse than You Think: #MH17 http://t.co/M5hHQxhSdC,kimthom11537310'
neutral,',RT @aprilthomas825: Why the Story of the \"Malaysian\" Jet Shot Down Over \"Ukraine\" is Much Worse than You Think: #MH17 http://t.co/M5hHQxhSdC,jasminethomas38'
neutral,',RT @aprilthomas825: Why the Story of the \"Malaysian\" Jet Shot Down Over \"Ukraine\" is Much Worse than You Think: #MH17 http://t.co/M5hHQxhSdC,ThomasWillie'
neutral,',RT @aprilthomas825: Why the Story of the \"Malaysian\" Jet Shot Down Over \"Ukraine\" is Much Worse than You Think: #MH17 http://t.co/M5hHQxhSdC,smshay'
neutral,',RT @aprilthomas825: Why the Story of the \"Malaysian\" Jet Shot Down Over \"Ukraine\" is Much Worse than You Think: #MH17 http://t.co/M5hHQxhSdC,keshaf'
neutral,',RT @aprilthomas825: Why the Story of the \"Malaysian\" Jet Shot Down Over \"Ukraine\" is Much Worse than You Think: #MH17 http://t.co/M5hHQxhSdC,JazzWillie21'
ukraine,',#Ukraine #MH17 refrigerated trains! http://t.co/MEEraLyBVr, ukrainetwit24'
ukraine,',#Russia s #Putin has blood on his hands in #Ukraine. http://t.co/0QM1vZrQp4, ukrainetwit24'
neutral,',RT @businessinsider: DEUTSCHE BANK: Here s the worst-case scenarios for the Russia-Ukraine conflict http://t.co/0E82sQgcTw, Andrei_Cherny'
ukraine,',RT @MarkSleboda1: BREAKING British Press reveals shocking new footage proving Putin s guilt in blowing #MH17 out of the sky #Ukraine http:/Е, MaxTaksi'
neutral,',RT @digby56: Oh Jesus this is awful. http://t.co/94MbX8AtLM, bdhoben'
neutral,',RT @Yatsenyuk_AP: At pilgrimage in Zarvanytsia:now decisive time for Ukraine.Again we fight for independence &amp; European future.God and trutЕ, FunGuerillaz'
neutral,',@ChrisBottom16 hahahaha, there s plenty of talent over in Ukraine, let s see if wolves have a look as well!, almeriafan1'
ukraine,',RT @sarahkendzior: Locals who stole wallets of corpses at #MH17 crash site now trying to use their credit cards http://t.co/PnZJR9qewP, zepathani'
russia,',RT @marcelsardo: #Lugansk. Today. Young Woman laying on the Street. Dead. Murdered by Ukraine Army via @Black_Bomb http://t.co/X3ovccrOЕ, Parameter79'
neutral,',Russian residents condemn U.S. &amp; Ukraine for shooting down MH17 http://t.co/Z9Okz0XGO8 #nottheonion, ItsNotTheOnion'
neutral,',Rebels  hinder the work  Ukraine says http://t.co/ykOVYBqG84 #WhereIsTheFuckingPlane.com #MH17, WitFP'
ukraine,',@BreitbartNews who cares...WE KNOW YOU SHOT IT DOWN AND WE KNOW YOU ARE CONDUCTING AN ILLEGAL WAR...SO GET OUT OF THE UKRAINE!, marcely034'
neutral,',Investors grappled with obstacles this year,ranging from withdrawal of Fed stimulus to military in Ukraine &amp; Israel. Response?Buy dips., StockMktTeacher'
neutral,',Malaysia MH17 crash: 10 questions Russia wants Ukraine to answer http://t.co/lVyqgtrIGw, OccuWorld'
neutral,',With Jet Strike, War in Ukraine Is Felt Globally http://t.co/HJvkUVe3l2 #WhereIsTheFuckingPlane.com #MH17, WitFP'
neutral,',#Dm_ruben04 US Outlines Case Against Russia on Downed Plane: US tries to make case that Ukraine se... http://t.co/BWluhCrQhx @Dm_ruben04, Dm_ruben04'
neutral,',RT @JakubKrupaFE: Powerful poster in memory of #MH17 victims by Victor Grudakov. Minimalism in its purest form. #Ukraine http://t.co/bQjZrhЕ, AdikaVoe'
neutral,',@lookitsMINORI The commander was at fault, not the pilot. In Ukraine, it s probably a AA team mistake. not sure on that, MinchiTsurugi'
ukraine,',Rebels hamper access to plane crash site ..BreakingNews SacramentoNews http://t.co/hmNwcXR4Ol, brknews_smf'
neutral,',RT @B5_Rundschau: #Seehofer im ARD-Sommerinterview: Von der Ukraine bis zur #Maut. http://t.co/x3mjltZOKA, Muschelschloss'
neutral,',RT @guardian: Russians blame Kiev government for MH17 disaster, not Ukrainian rebels: http://t.co/xxfNCK79QP, DanMi_Neko'
neutral,',RT @GottaLaff: Miss this? Protocols in the Ukraine Deemed \"Unacceptable\" by PBO and NTSB http://t.co/NZNi7RJ9x4 #TPC, Heather_Kozan'
ukraine,',No military sent in to help Ukraine stop the rebels after the death of 300 innocent people., ReginaAnnsc'
neutral,',#Dm_ruben04 US Outlines Case Against Russia on Downed Plane: US tries to make case that Ukraine se... http://t.co/Lt7mwWp1Ja @Dm_ruben04, jamelespinal3'
neutral,',RT @art2u2: ...munitions and much more #Ukraine is now a non-NATO strategic ally of the US Armed Forces, military help and the works @lennuЕ, louvice'
